Entity,Code,Year,Decadal average surface temperature
Afghanistan,AFG,1940,11.966856
Afghanistan,AFG,1950,11.262519
Afghanistan,AFG,1960,11.318892
Afghanistan,AFG,1970,11.769125
Afghanistan,AFG,1980,11.884798
Afghanistan,AFG,1990,11.781728
Afghanistan,AFG,2000,12.778719
Afghanistan,AFG,2010,13.015984
Albania,ALB,1940,11.613596
Albania,ALB,1950,12.1952
Albania,ALB,1960,12.065481
Albania,ALB,1970,11.942038
Albania,ALB,1980,12.091216
Albania,ALB,1990,12.241671
Albania,ALB,2000,12.447178
Albania,ALB,2010,13.143283
Algeria,DZA,1940,21.794376
Algeria,DZA,1950,22.052113
Algeria,DZA,1960,22.4429
Algeria,DZA,1970,22.332247
Algeria,DZA,1980,22.957952
Algeria,DZA,1990,23.12503
Algeria,DZA,2000,23.736147
Algeria,DZA,2010,24.137493
American Samoa,ASM,1940,26.320572
American Samoa,ASM,1950,26.30614
American Samoa,ASM,1960,26.41294
American Samoa,ASM,1970,26.302021
American Samoa,ASM,1980,26.388935
American Samoa,ASM,1990,26.626886
American Samoa,ASM,2000,26.746027
American Samoa,ASM,2010,26.888103
Andorra,AND,1940,4.223714
Andorra,AND,1950,4.2461634
Andorra,AND,1960,4.195718
Andorra,AND,1970,4.0202
Andorra,AND,1980,4.7781277
Andorra,AND,1990,5.0788226
Andorra,AND,2000,5.4807935
Andorra,AND,2010,5.7490416
Angola,AGO,1940,21.746304
Angola,AGO,1950,21.419758
Angola,AGO,1960,21.256931
Angola,AGO,1970,21.31311
Angola,AGO,1980,21.81519
Angola,AGO,1990,22.033194
Angola,AGO,2000,22.03262
Angola,AGO,2010,22.557241
Anguilla,AIA,1940,25.771778
Anguilla,AIA,1950,25.772467
Anguilla,AIA,1960,25.860235
Anguilla,AIA,1970,25.652767
Anguilla,AIA,1980,25.836151
Anguilla,AIA,1990,25.990168
Anguilla,AIA,2000,26.123713
Anguilla,AIA,2010,26.236607
Antigua and Barbuda,ATG,1940,25.785791
Antigua and Barbuda,ATG,1950,25.785877
Antigua and Barbuda,ATG,1960,25.91126
Antigua and Barbuda,ATG,1970,25.686573
Antigua and Barbuda,ATG,1980,25.828192
Antigua and Barbuda,ATG,1990,26.028316
Antigua and Barbuda,ATG,2000,26.186993
Antigua and Barbuda,ATG,2010,26.277689
Argentina,ARG,1940,14.060112
Argentina,ARG,1950,14.109253
Argentina,ARG,1960,14.350418
Argentina,ARG,1970,14.26665
Argentina,ARG,1980,14.458633
Argentina,ARG,1990,14.452772
Argentina,ARG,2000,14.610395
Argentina,ARG,2010,14.929667
Armenia,ARM,1940,5.1158667
Armenia,ARM,1950,5.5834513
Armenia,ARM,1960,5.8723693
Armenia,ARM,1970,5.57309
Armenia,ARM,1980,5.7359567
Armenia,ARM,1990,5.9093585
Armenia,ARM,2000,6.387453
Armenia,ARM,2010,7.0842886
Australia,AUS,1940,21.828707
Australia,AUS,1950,21.974276
Australia,AUS,1960,21.840328
Australia,AUS,1970,21.528017
Australia,AUS,1980,21.97793
Australia,AUS,1990,22.032776
Australia,AUS,2000,22.090734
Australia,AUS,2010,22.344429
Austria,AUT,1940,5.141807
Austria,AUT,1950,5.571209
Austria,AUT,1960,5.484603
Austria,AUT,1970,5.5441656
Austria,AUT,1980,5.6143556
Austria,AUT,1990,6.1722918
Austria,AUT,2000,6.8473015
Austria,AUT,2010,7.4177847
Azerbaijan,AZE,1940,11.27044
Azerbaijan,AZE,1950,11.16704
Azerbaijan,AZE,1960,11.320841
Azerbaijan,AZE,1970,11.321768
Azerbaijan,AZE,1980,11.405335
Azerbaijan,AZE,1990,11.603453
Azerbaijan,AZE,2000,12.143887
Azerbaijan,AZE,2010,12.676212
Bahamas,BHS,1940,25.33337
Bahamas,BHS,1950,25.121946
Bahamas,BHS,1960,24.99189
Bahamas,BHS,1970,25.065039
Bahamas,BHS,1980,25.113304
Bahamas,BHS,1990,25.396214
Bahamas,BHS,2000,25.375082
Bahamas,BHS,2010,25.665487
Bahrain,BHR,1940,25.627197
Bahrain,BHR,1950,25.645807
Bahrain,BHR,1960,25.808819
Bahrain,BHR,1970,25.489584
Bahrain,BHR,1980,25.466557
Bahrain,BHR,1990,25.71585
Bahrain,BHR,2000,26.10114
Bahrain,BHR,2010,26.292856
Bangladesh,BGD,1940,24.774513
Bangladesh,BGD,1950,24.882084
Bangladesh,BGD,1960,24.973892
Bangladesh,BGD,1970,24.95591
Bangladesh,BGD,1980,25.05106
Bangladesh,BGD,1990,25.124626
Bangladesh,BGD,2000,25.390198
Bangladesh,BGD,2010,25.536896
Belarus,BLR,1940,5.4187436
Belarus,BLR,1950,5.781308
Belarus,BLR,1960,5.8159637
Belarus,BLR,1970,6.073676
Belarus,BLR,1980,6.099433
Belarus,BLR,1990,6.747964
Belarus,BLR,2000,7.291963
Belarus,BLR,2010,7.7693415
Belgium,BEL,1940,9.364581
Belgium,BEL,1950,9.190631
Belgium,BEL,1960,9.225568
Belgium,BEL,1970,9.239952
Belgium,BEL,1980,9.272171
Belgium,BEL,1990,9.934237
Belgium,BEL,2000,10.427385
Belgium,BEL,2010,10.440287
Belize,BLZ,1940,24.18372
Belize,BLZ,1950,24.304829
Belize,BLZ,1960,24.596024
Belize,BLZ,1970,24.665483
Belize,BLZ,1980,24.893677
Belize,BLZ,1990,25.279156
Belize,BLZ,2000,25.468634
Belize,BLZ,2010,25.89925
Benin,BEN,1940,26.405064
Benin,BEN,1950,26.256033
Benin,BEN,1960,26.659847
Benin,BEN,1970,26.65578
Benin,BEN,1980,27.259312
Benin,BEN,1990,27.30428
Benin,BEN,2000,27.547947
